company_age_years,annual_revenue_lakhs,profit_margin_pct,monthly_burn_rate_lakhs,market_size_cr,team_size,sector,business_model,required_investment_lakhs,monthly_active_users,growth_rate_pct,investment_ready,recommended_investor_type,suggested_funding_range
3,16.55,1.74,1.46,81.83,31,E-commerce,B2B2C,19.46,35328,24.42,1,Angel,₹0–3L
3,24.27,-3.21,2.43,98.85,2,AI/ML,B2B2C,80.5,31525,0.86,0,Angel,₹0–3L
9,15.76,22.36,2.2,224.08,34,AgriTech,Marketplace,39.19,81010,11.75,1,Angel,₹0–3L
17,140.29,25.61,33.03,477.68,51,HealthTech,B2B2C,297.65,378880,7.3,1,Angel,₹3–15L
6,13.4,22.22,2.53,195.64,2,FinTech,Marketplace,37.46,89525,-7.84,0,Angel,₹0–3L
4,21.59,13.91,3.3,64.26,17,EdTech,Marketplace,62.66,22981,10.0,1,Angel,₹0–3L
3,68.63,11.5,3.94,202.6,9,HealthTech,B2C,216.56,71617,29.93,1,Angel,₹0–3L
14,45.61,-6.58,2.48,342.97,59,E-commerce,Subscription,145.19,226267,24.5,1,Angel,₹0–3L
17,15.81,5.05,2.14,96.85,81,E-commerce,Marketplace,10.0,70436,13.9,1,Angel,₹0–3L
16,29.52,-0.2,5.54,135.12,34,AgriTech,B2B,20.47,57897,26.67,1,Angel,₹0–3L
5,38.81,-13.9,7.48,149.95,53,Entertainment,B2C,114.24,46551,-7.05,0,Angel,₹0–3L
0,12.9,20.69,1.0,85.68,52,AI/ML,B2B,42.92,35259,6.84,1,Angel,₹0–3L
2,60.13,-0.33,2.59,233.64,78,E-commerce,B2B,77.24,76695,15.91,1,Angel,₹0–3L
8,21.03,22.36,2.28,136.37,23,E-commerce,B2B2C,10.0,47959,9.91,1,Angel,₹0–3L
4,13.82,18.58,3.19,199.07,34,AgriTech,B2B,18.42,102672,7.85,1,Angel,₹0–3L
5,5.0,14.68,1.0,79.74,31,Entertainment,Marketplace,10.0,33088,-6.79,0,Angel,₹0–3L
12,9.33,15.36,1.0,109.27,41,AgriTech,B2B,25.52,60967,-19.94,0,Angel,₹0–3L
2,80.54,0.64,7.61,246.08,102,EdTech,B2B,36.43,105014,22.32,1,Angel,₹0–3L
2,44.19,30.31,2.23,114.32,40,EdTech,B2B2C,43.32,88058,16.17,1,Angel,₹0–3L
4,99.15,8.54,12.77,497.14,18,E-commerce,B2B,313.38,374333,24.24,1,Angel,₹0–3L
11,25.74,11.63,5.2,112.2,11,SaaS,Marketplace,20.48,65455,4.41,1,Angel,₹0–3L
19,17.61,0.22,4.28,173.69,71,AgriTech,Marketplace,48.07,82887,-0.67,0,Angel,₹0–3L
17,69.24,-3.16,9.37,285.09,18,SaaS,B2B,100.82,139858,9.84,1,Angel,₹0–3L
6,5.53,13.73,1.0,54.99,56,AI/ML,Marketplace,13.39,27820,23.96,1,Angel,₹0–3L
19,13.2,10.61,2.34,50.0,23,EdTech,Marketplace,10.0,33189,7.41,1,Angel,₹0–3L
11,19.21,-1.47,3.73,51.01,8,EdTech,B2B2C,23.38,26822,21.9,1,Angel,₹0–3L
1,42.56,-9.25,1.55,359.17,55,AgriTech,B2C,70.62,261610,-5.87,1,Angel,₹0–3L
15,32.03,-7.23,6.9,100.86,24,SaaS,B2C,97.48,77866,6.98,0,Angel,₹0–3L
1,51.8,22.37,10.92,889.57,50,E-commerce,Subscription,108.94,416295,10.81,1,Angel,₹0–3L
7,18.14,0.65,2.33,99.99,52,AI/ML,B2C,10.0,58026,28.45,1,Angel,₹0–3L
0,14.99,3.94,2.23,168.88,53,SaaS,B2B,42.96,58690,13.44,1,Angel,₹0–3L
13,75.73,25.42,13.94,436.8,33,SaaS,Marketplace,35.93,174822,38.31,1,Angel,₹0–3L
9,66.93,-5.45,11.76,604.42,57,E-commerce,B2C,220.2,306278,-10.67,0,Angel,₹0–3L
12,113.51,-0.7,2.7,628.32,16,FinTech,B2B2C,110.96,253277,11.89,0,Angel,₹0–3L
9,67.82,-1.21,3.27,345.8,2,FinTech,Subscription,126.24,255296,12.59,0,Angel,₹0–3L
12,47.17,27.43,2.71,303.94,57,SaaS,B2B,25.06,115238,21.59,1,Angel,₹0–3L
12,62.88,31.94,12.19,224.7,44,AgriTech,B2C,131.88,118603,0.46,1,Angel,₹0–3L
0,95.1,17.04,11.53,255.92,24,AI/ML,Marketplace,179.84,154279,36.69,1,Angel,₹0–3L
4,19.19,17.41,2.79,100.9,3,FinTech,B2B2C,30.95,65177,11.64,0,Angel,₹0–3L
15,9.82,1.04,1.94,83.7,2,AgriTech,B2C,10.0,41142,-6.22,0,Angel,₹0–3L
5,21.43,31.37,2.11,148.06,41,AI/ML,Marketplace,66.71,108759,12.37,1,Angel,₹0–3L
3,45.97,11.22,8.84,131.75,81,FinTech,B2C,131.85,76960,6.24,1,Angel,₹0–3L
9,27.02,18.24,3.29,108.07,36,HealthTech,B2B,62.85,56167,53.27,1,Angel,₹0–3L
10,50.57,6.75,5.4,241.65,30,EdTech,Subscription,107.76,80617,26.31,1,Angel,₹0–3L
1,29.65,4.79,2.86,289.66,39,AgriTech,Marketplace,74.84,154199,11.14,1,Angel,₹0–3L
8,32.75,27.96,7.92,157.89,94,Entertainment,Subscription,24.91,112158,10.65,1,Angel,₹0–3L
13,61.57,14.49,12.16,417.49,58,Entertainment,Subscription,202.22,253532,25.47,1,Angel,₹0–3L
1,25.37,25.42,1.0,66.74,16,SaaS,B2B2C,30.72,47791,27.1,1,Angel,₹0–3L
4,46.58,11.08,11.19,129.6,40,Entertainment,Marketplace,111.83,70890,-30.0,0,Angel,₹0–3L
11,7.13,-2.18,1.41,89.86,48,E-commerce,B2B2C,15.99,32279,19.46,0,Angel,₹0–3L
0,11.54,1.0,1.0,50.0,13,AI/ML,Subscription,26.97,15340,10.5,1,Angel,₹0–3L
18,18.04,9.24,1.0,140.07,58,FinTech,B2B,56.14,63255,-8.9,1,Angel,₹0–3L
11,26.41,0.49,2.4,136.29,19,SaaS,B2B,32.93,88450,23.24,1,Angel,₹0–3L
11,152.8,-5.25,24.99,428.12,2,Entertainment,B2C,412.04,297602,43.26,0,Seed Fund,₹3–15L
19,54.15,22.43,8.76,230.8,41,Entertainment,B2C,119.94,103371,20.22,1,Angel,₹0–3L
4,12.1,1.46,1.01,72.46,37,HealthTech,Marketplace,10.0,39696,26.63,1,Angel,₹0–3L
19,66.71,9.67,8.17,543.41,39,FinTech,B2B,108.42,277443,37.87,1,Angel,₹0–3L
1,115.17,11.58,7.92,348.88,20,HealthTech,Subscription,343.37,176274,-1.49,1,Seed Fund,₹3–15L
13,59.91,0.96,1.9,223.07,24,E-commerce,B2B,78.43,92722,-17.78,0,Angel,₹0–3L
16,27.08,25.42,3.76,126.65,68,EdTech,Marketplace,49.92,46632,21.97,1,Angel,₹0–3L
14,9.56,-5.4,1.0,75.82,51,Entertainment,B2C,17.82,30203,5.84,0,Angel,₹0–3L
16,19.1,11.14,2.77,114.37,16,SaaS,B2C,43.5,37475,-9.68,1,Angel,₹0–3L
1,122.74,10.98,29.17,318.02,2,EdTech,B2B2C,384.03,126912,9.74,1,Seed Fund,₹3–15L
7,128.81,7.38,6.82,555.13,17,HealthTech,B2C,110.17,169094,21.53,1,Angel,₹0–3L
9,83.16,-7.54,1.7,437.15,43,Entertainment,Subscription,159.24,268246,7.14,1,Angel,₹0–3L
2,24.51,18.46,1.0,105.4,24,AgriTech,Marketplace,40.62,48295,-0.26,1,Angel,₹0–3L
10,21.87,16.93,2.76,67.78,22,Entertainment,B2C,27.27,53313,8.06,1,Angel,₹0–3L
8,27.69,-0.1,5.06,163.8,25,SaaS,B2C,89.78,65003,9.7,1,Angel,₹0–3L
14,5.63,16.49,1.0,50.0,38,FinTech,Subscription,10.0,23645,-17.57,0,Angel,₹0–3L
10,47.4,12.51,6.34,186.09,59,Entertainment,B2C,32.74,89121,8.9,1,Angel,₹0–3L
2,37.85,-7.36,3.84,133.84,39,EdTech,Subscription,100.19,40718,-10.78,0,Angel,₹0–3L
6,32.07,-2.24,2.93,107.1,41,FinTech,B2C,36.66,77070,19.7,1,Angel,₹0–3L
6,17.93,21.66,1.91,50.0,34,Entertainment,Subscription,46.88,15799,-11.61,1,Angel,₹0–3L
3,38.25,11.72,6.15,212.62,27,AI/ML,B2C,113.35,163738,26.17,1,Angel,₹0–3L
5,7.81,1.23,1.0,102.22,62,Entertainment,Marketplace,10.0,76258,3.97,1,Angel,₹0–3L
18,25.22,-2.3,4.98,65.44,58,Entertainment,B2B2C,23.06,37151,1.66,0,Angel,₹0–3L
13,10.11,1.82,1.54,50.0,91,FinTech,B2B2C,10.0,28589,14.57,1,Angel,₹0–3L
3,39.04,2.68,3.2,145.58,55,AgriTech,B2B,36.71,91263,-2.77,1,Angel,₹0–3L
18,145.33,-2.12,19.66,513.15,27,AI/ML,B2B2C,167.85,253254,14.0,1,Angel,₹0–3L
18,114.56,-12.87,27.66,474.79,17,AI/ML,Subscription,352.84,296086,-2.05,0,Seed Fund,₹3–15L
16,13.13,21.68,1.0,107.77,63,EdTech,Subscription,36.29,34744,3.46,1,Angel,₹0–3L
18,30.6,19.66,2.02,97.36,19,AI/ML,B2B2C,10.0,31840,17.72,1,Angel,₹0–3L
11,68.27,-7.26,8.41,206.05,60,Entertainment,Subscription,211.44,108923,-7.68,0,Angel,₹0–3L
16,17.97,9.64,3.0,73.78,21,Entertainment,Marketplace,10.0,42411,-8.16,0,Angel,₹0–3L
14,40.51,-2.82,2.79,183.32,48,FinTech,Subscription,97.11,136376,13.49,1,Angel,₹0–3L
8,22.8,4.87,5.34,253.73,13,SaaS,Marketplace,17.9,89395,10.0,0,Angel,₹0–3L
19,27.81,3.87,4.67,350.32,59,E-commerce,Marketplace,13.88,249192,12.85,1,Angel,₹0–3L
15,23.36,2.87,5.18,138.36,9,AgriTech,Marketplace,63.81,56040,15.15,0,Angel,₹0–3L
17,20.44,32.04,1.96,128.69,46,FinTech,B2C,36.68,63965,13.53,1,Angel,₹0–3L
17,30.81,2.72,6.49,80.27,35,HealthTech,B2B,68.3,36788,19.35,1,Angel,₹0–3L
3,26.98,-1.69,2.89,83.19,42,SaaS,Subscription,44.81,41603,11.32,1,Angel,₹0–3L
3,35.59,-1.14,2.78,126.65,30,HealthTech,B2C,18.33,47526,-20.2,0,Angel,₹0–3L
0,44.37,20.54,10.19,191.93,29,FinTech,B2B,118.33,105906,-14.51,1,Angel,₹0–3L
4,30.55,-11.82,1.26,281.32,43,HealthTech,B2C,89.35,197158,37.93,1,Angel,₹0–3L
11,33.2,-1.14,7.86,84.59,14,E-commerce,Subscription,14.36,44049,9.91,1,Angel,₹0–3L
13,76.48,25.38,9.6,421.95,14,HealthTech,Marketplace,114.9,230091,26.37,1,Angel,₹0–3L
9,10.73,10.93,2.66,122.76,31,EdTech,B2C,22.36,88923,5.73,1,Angel,₹0–3L
17,32.58,10.31,4.69,146.21,30,SaaS,B2B,72.87,95479,9.99,1,Angel,₹0–3L
9,31.31,33.59,6.08,87.97,14,SaaS,B2B,67.31,47961,6.0,1,Angel,₹0–3L
15,18.03,10.96,1.0,50.0,63,Entertainment,B2B,45.38,21442,47.9,1,Angel,₹0–3L
5,14.84,-0.49,1.99,275.57,31,SaaS,B2C,50.35,204598,13.76,0,Angel,₹0–3L
2,89.54,4.64,16.98,248.59,34,E-commerce,B2B,138.78,146295,2.36,1,Angel,₹0–3L
19,17.68,-5.62,3.54,121.88,6,SaaS,B2B2C,36.79,50042,-15.24,0,Angel,₹0–3L
14,9.9,23.07,1.0,155.54,91,EdTech,B2B,25.11,67590,41.53,1,Angel,₹0–3L
4,73.84,14.91,8.59,212.97,100,EdTech,B2B,162.14,149413,8.79,1,Angel,₹0–3L
5,17.62,21.5,2.05,50.0,20,Entertainment,B2C,27.09,16103,22.95,1,Angel,₹0–3L
11,26.51,22.56,1.16,102.48,70,SaaS,Subscription,60.89,81578,24.72,1,Angel,₹0–3L
0,64.97,3.05,7.92,258.78,37,E-commerce,B2C,154.65,94500,3.31,1,Angel,₹0–3L
9,20.64,-3.33,4.24,61.68,80,Entertainment,B2C,44.82,43056,19.81,1,Angel,₹0–3L
2,59.28,7.39,5.28,182.27,48,Entertainment,B2B2C,56.69,90658,1.55,1,Angel,₹0–3L
4,20.76,-2.47,2.48,57.42,42,AgriTech,Subscription,39.84,31357,-5.06,1,Angel,₹0–3L
14,50.08,9.99,12.07,205.72,2,EdTech,B2C,156.76,152297,28.3,1,Angel,₹0–3L
3,56.26,21.6,1.54,144.76,18,Entertainment,B2B2C,173.26,73312,9.43,1,Angel,₹0–3L
18,19.93,5.99,3.11,50.0,40,HealthTech,B2C,53.87,28437,18.28,1,Angel,₹0–3L
16,30.45,9.81,5.82,335.4,44,FinTech,B2B2C,77.07,108886,16.98,1,Angel,₹0–3L
7,30.83,6.88,6.01,88.75,9,E-commerce,Marketplace,24.37,26728,20.14,1,Angel,₹0–3L
4,18.93,17.64,3.5,84.17,21,Entertainment,B2B,33.52,35552,-11.88,0,Angel,₹0–3L
3,31.71,-0.01,5.93,170.78,53,SaaS,B2B,20.77,109351,1.22,1,Angel,₹0–3L
18,87.74,-18.34,2.95,331.64,5,Entertainment,B2C,255.8,119599,3.6,0,Angel,₹0–3L
8,5.07,13.65,1.0,72.89,43,FinTech,B2B2C,10.0,26012,-1.33,1,Angel,₹0–3L
12,35.22,19.86,7.05,154.96,70,E-commerce,Marketplace,96.99,78329,18.09,1,Angel,₹0–3L
16,71.09,13.37,2.96,200.37,49,E-commerce,B2B,206.65,125015,28.92,1,Angel,₹0–3L
7,30.07,0.32,1.0,241.09,48,EdTech,B2C,94.89,158164,30.2,1,Angel,₹0–3L
18,33.46,-5.61,6.94,167.92,2,Entertainment,B2C,90.74,65360,4.44,0,Angel,₹0–3L
10,43.48,13.94,7.99,114.79,19,FinTech,B2B2C,91.63,39004,15.54,1,Angel,₹0–3L
13,16.63,9.7,1.91,83.15,91,AgriTech,Subscription,36.82,64044,17.49,1,Angel,₹0–3L
17,27.65,6.5,6.53,157.64,25,SaaS,B2C,36.67,67836,19.86,1,Angel,₹0–3L
4,14.31,29.87,2.81,70.07,71,HealthTech,Marketplace,12.4,50918,-0.68,1,Angel,₹0–3L
11,11.59,-3.36,2.81,50.0,24,FinTech,Marketplace,10.0,36587,37.03,1,Angel,₹0–3L
15,54.64,29.31,12.77,201.46,33,E-commerce,Subscription,48.21,138254,26.34,1,Angel,₹0–3L
15,92.28,8.4,12.06,279.43,52,HealthTech,Marketplace,303.48,107417,24.99,1,Angel,₹3–15L
13,10.41,-14.02,2.02,50.0,42,EdTech,B2B2C,10.0,35545,26.88,0,Angel,₹0–3L
6,24.6,5.86,4.28,73.2,49,HealthTech,B2C,64.36,50114,18.5,1,Angel,₹0–3L
8,54.21,19.53,11.2,228.93,19,Entertainment,B2B2C,48.29,136981,-3.78,1,Angel,₹0–3L
2,105.56,3.65,21.23,626.56,11,HealthTech,Subscription,361.1,293607,8.22,1,Seed Fund,₹3–15L
13,42.21,-9.69,2.33,150.59,17,FinTech,Subscription,62.17,64942,-15.57,0,Angel,₹0–3L
0,26.85,6.03,1.98,89.16,26,E-commerce,B2B2C,43.47,32180,16.73,1,Angel,₹0–3L
13,32.03,-2.28,2.6,130.58,34,E-commerce,B2B,51.07,72455,7.27,0,Angel,₹0–3L
19,27.13,13.91,5.65,388.55,65,E-commerce,Subscription,79.01,230264,10.55,1,Angel,₹0–3L
17,10.34,17.28,2.13,94.43,42,AI/ML,B2C,10.32,45293,29.5,1,Angel,₹0–3L
2,12.71,-4.67,1.7,84.82,52,EdTech,Subscription,37.62,45607,2.76,1,Angel,₹0–3L
5,15.76,-0.47,2.42,105.86,43,FinTech,B2B2C,37.87,50996,6.18,0,Angel,₹0–3L
3,21.76,17.09,4.57,76.15,12,Entertainment,B2B2C,21.86,47249,11.75,1,Angel,₹0–3L
0,9.12,-2.3,1.0,161.72,40,E-commerce,Marketplace,10.0,121392,-17.79,0,Angel,₹0–3L
2,145.54,-4.95,4.59,462.79,43,HealthTech,B2B,404.6,176767,5.6,0,Seed Fund,₹0–3L
17,26.58,-6.14,3.48,186.08,58,AI/ML,B2B2C,26.6,91308,-27.8,0,Angel,₹0–3L
19,19.72,12.23,4.54,124.38,13,EdTech,Marketplace,62.01,46075,2.24,1,Angel,₹0–3L
19,28.41,11.72,5.73,120.99,2,E-commerce,Marketplace,20.32,74104,23.8,1,Angel,₹0–3L
2,6.28,-0.21,1.0,50.0,44,AI/ML,B2C,14.27,33221,16.69,0,Angel,₹0–3L
15,99.02,8.09,3.46,275.39,48,Entertainment,Marketplace,249.03,210934,1.75,1,Angel,₹0–3L
6,11.23,26.33,1.87,140.54,35,SaaS,B2B,27.0,61759,12.81,1,Angel,₹0–3L
8,26.88,-3.68,5.7,130.8,40,EdTech,B2C,35.25,101383,-6.43,0,Angel,₹0–3L
1,481.84,-15.3,83.33,1387.38,61,AgriTech,B2B2C,1494.5,460100,8.69,0,VC,₹15–60L
2,48.58,13.47,5.72,182.93,28,AgriTech,B2B2C,134.24,110036,55.08,1,Angel,₹0–3L
0,13.36,6.68,1.0,87.68,33,HealthTech,Marketplace,25.81,28810,38.24,1,Angel,₹0–3L
5,21.72,-0.51,4.98,110.12,41,SaaS,Subscription,48.45,82245,10.75,1,Angel,₹0–3L
14,98.6,15.85,8.23,331.59,9,AI/ML,B2B,208.28,187319,13.72,1,Angel,₹0–3L
4,62.76,18.09,4.49,160.66,36,FinTech,B2B,208.96,101966,-3.19,1,Angel,₹0–3L
12,19.66,-18.49,4.08,54.23,38,SaaS,Marketplace,62.3,38816,-3.57,0,Angel,₹0–3L
7,47.97,0.18,11.79,282.44,80,EdTech,B2B,50.54,105958,15.45,1,Angel,₹0–3L
12,37.13,35.82,6.38,92.97,32,AI/ML,B2C,42.36,29685,5.11,1,Angel,₹0–3L
18,28.21,15.01,4.62,550.77,45,Entertainment,Marketplace,97.07,407258,24.81,1,Angel,₹0–3L
8,18.86,16.12,1.76,316.09,62,AI/ML,Subscription,19.94,144601,34.89,1,Angel,₹0–3L
2,36.71,22.08,1.0,108.51,19,EdTech,B2B2C,123.04,39552,16.83,1,Angel,₹0–3L
13,43.59,8.22,2.79,363.84,74,AI/ML,B2B,103.72,194373,12.21,1,Angel,₹0–3L
6,11.09,17.56,1.71,155.63,84,AI/ML,B2B2C,10.0,93247,-13.75,0,Angel,₹0–3L
12,35.86,16.63,1.97,269.6,39,EdTech,Subscription,49.28,85055,22.6,1,Angel,₹0–3L
8,41.49,14.48,9.26,208.37,26,Entertainment,Subscription,75.67,91150,-5.95,1,Angel,₹0–3L
10,25.09,4.14,1.59,82.07,80,SaaS,B2C,74.41,25966,4.08,0,Angel,₹0–3L
8,25.4,10.07,3.56,94.59,59,HealthTech,Subscription,34.32,48254,25.23,1,Angel,₹0–3L
10,40.64,0.95,5.6,305.2,42,AgriTech,Subscription,52.59,228153,25.53,1,Angel,₹0–3L
13,26.55,8.16,4.22,117.41,75,FinTech,B2B,86.15,92908,3.68,1,Angel,₹0–3L
14,41.86,-6.01,3.99,111.88,73,EdTech,B2B2C,23.15,69201,3.37,1,Angel,₹0–3L
16,25.5,-1.48,5.63,76.05,31,E-commerce,B2B,52.65,28961,-0.61,0,Angel,₹0–3L
0,32.56,4.62,3.98,199.64,46,AI/ML,B2B,62.31,150314,-7.58,1,Angel,₹0–3L
2,247.61,-3.26,44.83,628.77,54,SaaS,Marketplace,119.71,350932,0.21,0,Angel,₹0–3L
2,20.95,1.95,3.48,70.3,40,FinTech,Marketplace,12.17,26493,-14.03,0,Angel,₹0–3L
2,10.85,6.04,1.0,150.95,5,FinTech,B2C,16.51,114852,20.75,1,Angel,₹0–3L
3,24.85,12.83,4.06,398.84,16,EdTech,B2C,18.12,270704,16.99,1,Angel,₹0–3L
16,15.29,19.39,2.24,140.37,6,E-commerce,Subscription,27.98,93462,20.02,1,Angel,₹0–3L
19,62.08,2.45,14.07,203.7,52,E-commerce,B2C,139.58,133341,-4.11,1,Angel,₹0–3L
3,8.06,24.02,1.8,70.55,10,HealthTech,B2C,20.26,28232,-5.92,1,Angel,₹0–3L
12,45.87,19.27,2.51,200.3,44,E-commerce,Subscription,93.98,81222,12.41,1,Angel,₹0–3L
6,10.76,14.05,1.0,130.19,85,AgriTech,B2B2C,16.3,83861,12.13,1,Angel,₹0–3L
3,110.17,9.87,9.67,295.9,75,EdTech,Subscription,78.79,121276,8.61,0,Angel,₹0–3L
7,58.06,11.84,14.34,340.76,2,FinTech,Subscription,63.4,176967,6.64,1,Angel,₹0–3L
10,334.49,22.33,8.35,909.32,8,FinTech,B2B2C,549.28,628339,37.52,1,Seed Fund,₹3–15L
18,84.78,22.7,14.82,222.68,20,E-commerce,Subscription,276.13,154090,18.28,1,Angel,₹0–3L
6,9.72,24.02,1.56,186.43,10,AI/ML,Marketplace,10.0,98179,41.56,1,Angel,₹0–3L
8,36.13,8.5,6.09,170.05,2,SaaS,B2C,58.62,118368,29.74,1,Angel,₹0–3L
3,6.8,14.66,1.0,115.91,39,Entertainment,Subscription,17.96,83372,36.77,1,Angel,₹0–3L
3,69.23,24.14,4.99,188.09,57,Entertainment,B2B,176.99,118007,-4.11,1,Angel,₹0–3L
0,27.93,0.52,3.33,120.69,63,AgriTech,B2C,94.69,49991,18.94,1,Angel,₹0–3L
5,12.73,4.18,1.0,166.99,28,SaaS,Marketplace,11.6,72974,3.87,1,Angel,₹0–3L
2,33.07,8.2,1.23,373.28,33,HealthTech,Marketplace,11.67,170744,-14.27,0,Angel,₹0–3L
2,13.52,18.8,1.0,73.36,48,E-commerce,Subscription,18.0,26293,34.01,1,Angel,₹0–3L
0,124.95,19.01,18.97,329.61,37,AgriTech,B2B2C,97.34,143901,7.18,1,Angel,₹0–3L
6,109.15,5.26,12.17,373.15,60,EdTech,B2B,224.32,151036,-5.39,1,Angel,₹0–3L
8,48.33,-10.09,4.23,136.64,50,HealthTech,Subscription,153.49,72100,2.94,0,Angel,₹0–3L
2,8.91,10.96,1.0,50.0,30,Entertainment,B2B2C,22.3,37710,-1.03,1,Angel,₹0–3L
14,6.32,-3.02,1.0,96.98,2,AgriTech,Marketplace,10.0,34160,-0.66,0,Angel,₹0–3L
2,143.87,-9.84,16.49,367.93,77,Entertainment,B2C,96.6,242883,5.86,0,Angel,₹0–3L
10,8.18,-7.16,1.0,146.06,22,E-commerce,Marketplace,26.31,94007,35.37,1,Angel,₹0–3L
17,28.14,11.92,5.08,73.74,48,HealthTech,Subscription,52.36,25650,1.0,1,Angel,₹0–3L
2,18.66,24.34,1.0,104.24,2,AI/ML,B2B2C,60.76,79353,36.92,1,Angel,₹0–3L
19,14.31,8.47,3.41,267.32,39,EdTech,Subscription,38.01,156176,23.44,1,Angel,₹0–3L
6,63.37,10.55,2.58,217.61,42,E-commerce,Marketplace,220.45,104859,16.82,1,Angel,₹0–3L
8,49.37,22.21,11.7,125.56,43,FinTech,B2B,152.44,85160,23.07,1,Angel,₹0–3L
16,44.54,-10.52,9.43,114.8,115,EdTech,Marketplace,72.4,49214,9.33,0,Angel,₹0–3L
8,12.0,14.25,2.12,112.82,24,AI/ML,Subscription,32.7,72965,30.48,1,Angel,₹0–3L
9,8.83,7.86,2.03,77.81,60,AgriTech,B2B2C,15.96,24889,19.16,1,Angel,₹0–3L
12,114.0,14.82,5.93,459.79,53,Entertainment,Subscription,119.22,330910,-13.73,0,Angel,₹0–3L
4,32.34,2.21,1.96,118.44,23,AI/ML,B2C,34.65,62070,14.63,1,Angel,₹0–3L
13,107.44,-1.79,8.38,347.93,60,FinTech,B2C,168.84,215143,21.61,1,Angel,₹0–3L
3,48.8,9.7,3.72,430.49,35,SaaS,B2B2C,32.05,176766,6.47,1,Angel,₹0–3L
13,115.12,27.82,10.53,298.51,61,EdTech,Marketplace,100.02,190612,14.21,1,Angel,₹0–3L
10,30.01,18.34,4.57,109.71,89,E-commerce,Subscription,57.08,75276,2.34,1,Angel,₹0–3L
9,68.21,1.92,1.81,196.88,43,FinTech,B2C,228.69,105648,-10.5,0,Angel,₹0–3L
4,34.88,-8.08,3.76,145.92,32,Entertainment,B2B,74.94,88845,-13.93,0,Angel,₹0–3L
11,15.37,-12.18,1.18,78.84,66,SaaS,B2C,24.71,41639,-14.07,0,Angel,₹0–3L
14,73.01,23.81,11.65,186.24,74,E-commerce,Marketplace,78.61,139131,22.02,1,Angel,₹0–3L
12,16.5,-3.46,4.07,65.02,17,HealthTech,B2B2C,15.29,35690,-27.64,0,Angel,₹0–3L
7,120.45,4.12,16.75,340.83,28,E-commerce,B2B,289.91,245703,0.35,1,Angel,₹0–3L
3,41.13,23.86,4.85,107.21,56,HealthTech,Subscription,123.99,75117,0.5,1,Angel,₹0–3L
12,48.93,-11.35,5.12,170.85,36,E-commerce,Subscription,77.13,86324,4.82,0,Angel,₹0–3L
14,43.82,25.92,8.79,180.96,16,Entertainment,B2B2C,90.35,75107,-15.69,0,Angel,₹0–3L
8,6.34,4.96,1.0,123.81,53,HealthTech,B2B,16.25,62282,16.47,0,Angel,₹0–3L
5,14.32,-5.78,3.45,223.78,56,EdTech,B2B,10.0,159583,-9.58,0,Angel,₹0–3L
17,12.8,5.03,1.49,106.44,31,Entertainment,B2B,18.22,44045,27.41,1,Angel,₹0–3L
8,31.44,-0.66,2.9,273.12,41,SaaS,B2B2C,82.84,153552,0.62,0,Angel,₹0–3L
5,8.05,13.29,1.96,57.85,25,AI/ML,B2B2C,20.05,40669,9.67,1,Angel,₹0–3L
6,25.41,0.23,5.98,162.14,12,EdTech,Subscription,11.96,77298,10.08,0,Angel,₹0–3L
11,101.51,-14.91,17.02,576.66,27,FinTech,B2C,107.7,358165,12.42,0,Angel,₹0–3L
3,14.53,5.36,1.0,73.68,41,EdTech,Marketplace,35.97,31154,11.0,1,Angel,₹0–3L
10,7.81,-8.28,1.5,92.35,3,EdTech,Subscription,10.0,32750,2.9,0,Angel,₹0–3L
2,13.79,10.46,1.34,212.67,29,AI/ML,B2B,40.07,148270,16.02,1,Angel,₹0–3L
6,48.11,-6.23,5.26,168.29,42,AgriTech,B2C,18.98,58815,16.47,0,Angel,₹0–3L
1,45.16,2.16,2.55,189.7,69,EdTech,Marketplace,41.06,82650,-1.3,1,Angel,₹0–3L
9,42.94,10.2,6.03,209.02,32,FinTech,B2B,51.54,152073,17.25,1,Angel,₹0–3L
2,62.96,5.47,12.04,231.44,8,EdTech,B2B2C,205.32,109523,28.33,1,Angel,₹0–3L
16,109.62,11.03,9.08,322.72,34,EdTech,B2C,312.23,253827,21.51,1,Seed Fund,₹0–3L
10,39.48,16.17,9.31,197.72,25,EdTech,B2B2C,123.56,156175,25.33,1,Angel,₹0–3L
0,34.4,-5.89,2.23,125.35,53,SaaS,Marketplace,58.8,54419,12.09,1,Angel,₹0–3L
1,91.2,7.25,3.21,237.65,31,Entertainment,Marketplace,267.41,76164,-3.44,0,Angel,₹0–3L
12,192.95,-30.0,32.45,561.11,2,EdTech,B2B,584.86,366142,-4.64,0,Seed Fund,₹3–15L
13,26.93,10.97,5.8,135.25,132,AI/ML,B2B2C,42.54,71075,15.71,1,Angel,₹0–3L
16,20.68,4.4,4.95,75.03,43,SaaS,Subscription,72.02,26287,24.51,1,Angel,₹0–3L
1,36.07,-3.79,7.09,322.13,42,AI/ML,Subscription,109.08,210596,51.47,1,Angel,₹0–3L
16,33.58,11.8,2.21,136.42,2,FinTech,B2B2C,114.76,43052,25.71,1,Angel,₹0–3L
18,19.67,22.08,4.82,50.0,3,AgriTech,Marketplace,60.45,36754,-5.72,0,Angel,₹0–3L
8,62.16,2.3,14.39,268.59,37,FinTech,B2C,173.03,99198,-1.32,0,Angel,₹0–3L
